Pop,Group,Shape,Fill,Color,Transparency,Size,Country,Region
Abazin.HO,modern,16,Grey,Grey,0.8,1.5,Russia,Karachay-Cherkessia
Abkhasian.HO,modern,16,Grey,Grey,0.8,1.5,Georgia,Abkhazia
Adygei.DG,modern,16,Grey,Grey,0.8,1.5,Russia,Republic of Adygei
Adygei.HO,modern,16,Grey,Grey,0.8,1.5,Russia,Republic of Adygei
Albanian.DG,modern,16,Grey,Grey,0.8,1.5,Albania,Albania
Albanian.HO,modern,16,Grey,Grey,0.8,1.5,Albania,Albania
Aleut.DG,modern,16,Grey,Grey,0.8,1.5,Russia,Kamchatka
Aleut.HO,modern,16,Grey,Grey,0.8,1.5,Russia,Kamchatka
Altaian.DG,modern,16,Grey,Grey,0.8,1.5,Russia,Altai Republic
Altaian.HO,modern,16,Grey,Grey,0.8,1.5,Russia,Altai Republic
Altaian.SG,modern,16,Grey,Grey,0.8,1.5,Russia,Altai Republic
Ami.DG,modern,16,Grey,Grey,0.8,1.5,Taiwan,Southeastern Taiwan
Ami.HO,modern,16,Grey,Grey,0.8,1.5,Taiwan,Southeastern Taiwan
Armenian.DG,modern,16,Grey,Grey,0.8,1.5,Armenia,Armenia
Armenian_Hemsheni.HO,modern,16,Grey,Grey,0.8,1.5,Turkey,Eastern Turkey
Armenian.HO,modern,16,Grey,Grey,0.8,1.5,Armenia,Armenia
Armenian.WGA.HO,modern,16,Grey,Grey,0.8,1.5,Armenia,Armenia
Atayal.DG,modern,16,Grey,Grey,0.8,1.5,Taiwan,Northern Taiwan
Atayal.HO,modern,16,Grey,Grey,0.8,1.5,Taiwan,Northern Taiwan
Avar.HO,modern,16,Grey,Grey,0.8,1.5,Russia,Dagestan
Avar.SG,modern,16,Grey,Grey,0.8,1.5,Russia,Dagestan
Azeri.HO,modern,16,Grey,Grey,0.8,1.5,Azerbaijan,Azerbaijan
Azeri.WGA.HO,modern,16,Grey,Grey,0.8,1.5,Azerbaijan,Azerbaijan
Balkar.HO,modern,16,Grey,Grey,0.8,1.5,Russia,Kabardino-Balkaria
Bashkir.HO,modern,16,Grey,Grey,0.8,1.5,Russia,Republic of Bashkortostan
Bashkir.SG,modern,16,Grey,Grey,0.8,1.5,Russia,Republic of Bashkortostan
Basque.DG,modern,16,Grey,Grey,0.8,1.5,Spain,Basque Country
Basque.HO,modern,16,Grey,Grey,0.8,1.5,Spain,Basque Country
Belarusian.HO,modern,16,Grey,Grey,0.8,1.5,Belarus,Belarus
Besermyan.HO,modern,16,Grey,Grey,0.8,1.5,Russia,Udmurt Republic
Bulgarian.DG,modern,16,Grey,Grey,0.8,1.5,Bulgaria,Bulgaria
Bulgarian.HO,modern,16,Grey,Grey,0.8,1.5,Bulgaria,Bulgaria
Buryat.HO,modern,16,Grey,Grey,0.8,1.5,Russia,Republic of Buryatia
Buryat.SG,modern,16,Grey,Grey,0.8,1.5,Russia,Republic of Buryatia
Cambodian.DG,modern,16,Grey,Grey,0.8,1.5,Cambodia,Cambodia
Cambodian.HO,modern,16,Grey,Grey,0.8,1.5,Cambodia,Cambodia
Chechen.DG,modern,16,Grey,Grey,0.8,1.5,Russia,Chechen Republic
Chechen.HO,modern,16,Grey,Grey,0.8,1.5,Russia,Chechen Republic
Chukchi.DG,modern,16,Grey,Grey,0.8,1.5,Russia,Chukotka Autonomous Okrug
Chukchi.HO,modern,16,Grey,Grey,0.8,1.5,Russia,Chukotka Autonomous Okrug
Chuvash.HO,modern,16,Grey,Grey,0.8,1.5,Russia,Chuvash Republic
Circassian.HO,modern,16,Grey,Grey,0.8,1.5,Russia,Republic of Adygea and Kabardino-Balkaria
Croatian.HO,modern,16,Grey,Grey,0.8,1.5,Croatia,Croatia
Cypriot.HO,modern,16,Grey,Grey,0.8,1.5,Cyprus,Cyprus
Czech.DG,modern,16,Grey,Grey,0.8,1.5,Czech Republic,Czech Republic
Czech.HO,modern,16,Grey,Grey,0.8,1.5,Czech Republic,Czech Republic
Dai.DG,modern,16,Grey,Grey,0.8,1.5,China,Yunnan Province
Dai.HO,modern,16,Grey,Grey,0.8,1.5,China,Yunnan Province
Darginian.HO,modern,16,Grey,Grey,0.8,1.5,Russia,Republic of Dagestan
Daur.DG,modern,16,Grey,Grey,0.8,1.5,China,Inner Mongolia
Daur.HO,modern,16,Grey,Grey,0.8,1.5,China,Inner Mongolia
Dolgan.HO,modern,16,Grey,Grey,0.8,1.5,Russia,Krasnoyarsk Krai (Taimyr Peninsula)
Dungan.HO,modern,16,Grey,Grey,0.8,1.5,Kyrgyzstan,Chuy Region
Dungan.SG,modern,16,Grey,Grey,0.8,1.5,Kyrgyzstan,Chuy Region
Enets.HO,modern,16,Grey,Grey,0.8,1.5,Russia,Krasnoyarsk Krai (Taimyr Peninsula)
English.DG,modern,16,Grey,Grey,0.8,1.5,United Kingdom,England
English.HO,modern,16,Grey,Grey,0.8,1.5,United Kingdom,England
Eskimo_ChaplinSireniki.HO,modern,16,Grey,Grey,0.8,1.5,Russia,Chukotka Autonomous Okrug
Eskimo_Naukan.DG,modern,16,Grey,Grey,0.8,1.5,Russia,Chukotka Autonomous Okrug
Eskimo_Naukan.HO,modern,16,Grey,Grey,0.8,1.5,Russia,Chukotka Autonomous Okrug
Estonian.DG,modern,16,Grey,Grey,0.8,1.5,Estonia,Estonia
Estonian.HO,modern,16,Grey,Grey,0.8,1.5,Estonia,Estonia
Even.DG,modern,16,Grey,Grey,0.8,1.5,Russia,Yakutia and Magadan Region
Even.HO,modern,16,Grey,Grey,0.8,1.5,Russia,Yakutia and Magadan Region
Evenk_FarEast.HO,modern,16,Grey,Grey,0.8,1.5,Russia,Far Eastern Russia
Evenk_Transbaikal.HO,modern,16,Grey,Grey,0.8,1.5,Russia,Zabaykalsky Krai
Ezid.HO,modern,16,Grey,Grey,0.8,1.5,Iraq,Sinjar Region
Finnish.DG,modern,16,Grey,Grey,0.8,1.5,Finland,Finland
Finnish.HO,modern,16,Grey,Grey,0.8,1.5,Finland,Finland
French.DG,modern,16,Grey,Grey,0.8,1.5,France,France
French.HO,modern,16,Grey,Grey,0.8,1.5,France,France
Gagauz.HO,modern,16,Grey,Grey,0.8,1.5,Moldova,Gagauzia
Georgian.DG,modern,16,Grey,Grey,0.8,1.5,Georgia,Georgia
Georgian.HO,modern,16,Grey,Grey,0.8,1.5,Georgia,Georgia
Georgian.WGA.HO,modern,16,Grey,Grey,0.8,1.5,Georgia,Georgia
Greek.HO,modern,16,Grey,Grey,0.8,1.5,Greece,Greece
Greek.WGA.HO,modern,16,Grey,Grey,0.8,1.5,Greece,Greece
Han.DG,modern,16,Grey,Grey,0.8,1.5,China,China
Han.HO,modern,16,Grey,Grey,0.8,1.5,China,China
Hezhen.DG,modern,16,Grey,Grey,0.8,1.5,China,Heilongjiang Province
Hezhen.HO,modern,16,Grey,Grey,0.8,1.5,China,Heilongjiang Province
Hungarian.DG,modern,16,Grey,Grey,0.8,1.5,Hungary,Hungary
Hungarian.HO,modern,16,Grey,Grey,0.8,1.5,Hungary,Hungary
Icelandic.DG,modern,16,Grey,Grey,0.8,1.5,Iceland,Iceland
Icelandic.HO,modern,16,Grey,Grey,0.8,1.5,Iceland,Iceland
Ingushian.HO,modern,16,Grey,Grey,0.8,1.5,Russia,Republic of Ingushetia
Italian_North.DG,modern,16,Grey,Grey,0.8,1.5,Italy,"Northern Italy (e.g., Lombardy, Veneto)"
Italian_North.HO,modern,16,Grey,Grey,0.8,1.5,Italy,"Northern Italy (e.g., Lombardy, Veneto)"
Italian_South.HO,modern,16,Grey,Grey,0.8,1.5,Italy,"Southern Italy (e.g., Calabria, Sicily)"
Itelmen.DG,modern,16,Grey,Grey,0.8,1.5,Russia,Kamchatka Krai
Itelmen.HO,modern,16,Grey,Grey,0.8,1.5,Russia,Kamchatka Krai
Japanese.DG,modern,16,Grey,Grey,0.8,1.5,Japan,Japan
Japanese.HO,modern,16,Grey,Grey,0.8,1.5,Japan,Japan
Jew_Ashkenazi.HO,modern,16,Grey,Grey,0.8,1.5,Eastern Europe,Eastern Europe
Jew_Georgian.HO,modern,16,Grey,Grey,0.8,1.5,Georgia,Georgia
Kabardinian.HO,modern,16,Grey,Grey,0.8,1.5,Russia,Kabardino-Balkaria
Kaitag.HO,modern,16,Grey,Grey,0.8,1.5,Russia,Dagestan
Kalmyk.HO,modern,16,Grey,Grey,0.8,1.5,Russia,Republic of Kalmykia
Kalmyk.SG,modern,16,Grey,Grey,0.8,1.5,Russia,Republic of Kalmykia
Karachai.HO,modern,16,Grey,Grey,0.8,1.5,Russia,Karachay-Cherkessia
Karakalpak.HO,modern,16,Grey,Grey,0.8,1.5,Uzbekistan,Republic of Karakalpakstan
Karakalpak.SG,modern,16,Grey,Grey,0.8,1.5,Uzbekistan,Republic of Karakalpakstan
Karelian.HO,modern,16,Grey,Grey,0.8,1.5,Russia,Republic of Karelia
Kazakh.HO,modern,16,Grey,Grey,0.8,1.5,Kazakhstan,Kazakhstan
Kazakh.SG,modern,16,Grey,Grey,0.8,1.5,Kazakhstan,Kazakhstan
Ket.HO,modern,16,Grey,Grey,0.8,1.5,Russia,Krasnoyarsk Krai (Yenisei River area)
Khakass.HO,modern,16,Red,Red,0.8,1.5,Russia,Republic of Khakassia
Khamnegan.HO,modern,16,Grey,Grey,0.8,1.5,Russia,Buryatia and Irkutsk Oblast
Kinh.DG,modern,16,Grey,Grey,0.8,1.5,Vietnam,Vietnam
Kinh.HO,modern,16,Grey,Grey,0.8,1.5,Vietnam,Vietnam
Korean.DG,modern,16,Grey,Grey,0.8,1.5,South Korea,South Korea
Korean.HO,modern,16,Grey,Grey,0.8,1.5,South Korea,South Korea
Koryak.HO,modern,16,Grey,Grey,0.8,1.5,Russia,Kamchatka Krai
Koryak.SG,modern,16,Grey,Grey,0.8,1.5,Russia,Kamchatka Krai
Kubachinian.HO,modern,16,Grey,Grey,0.8,1.5,Russia,Dagestan
Kumyk.HO,modern,16,Grey,Grey,0.8,1.5,Russia,Dagestan
Kurd.HO,modern,16,Grey,Grey,0.8,1.5,Iraq,Kurdistan Region
Kurd.WGA.HO,modern,16,Grey,Grey,0.8,1.5,Iraq,Kurdistan Region
Lak.HO,modern,16,Grey,Grey,0.8,1.5,Russia,Dagestan
Lezgin.DG,modern,16,Grey,Grey,0.8,1.5,Russia,Dagestan
Lezgin.HO,modern,16,Grey,Grey,0.8,1.5,Russia,Dagestan
Lithuanian.HO,modern,16,Grey,Grey,0.8,1.5,Lithuania,Lithuania
Maltese.HO,modern,16,Grey,Grey,0.8,1.5,Malta,Malta Island
Mansi.DG,modern,16,Grey,Grey,0.8,1.5,Russia,Khanty-Mansi Autonomous Okrug
Mansi.HO,modern,16,Grey,Grey,0.8,1.5,Russia,Khanty-Mansi Autonomous Okrug
Miao.DG,modern,16,Grey,Grey,0.8,1.5,China,Guizhou and Guangxi
Miao.HO,modern,16,Grey,Grey,0.8,1.5,China,Guizhou and Guangxi
Moldavian.HO,modern,16,Grey,Grey,0.8,1.5,Moldova,Moldova
Mongola.DG,modern,16,Grey,Grey,0.8,1.5,China,Inner Mongolia
Mongola.HO,modern,16,Grey,Grey,0.8,1.5,China,Inner Mongolia
Mongol.HO,modern,16,Grey,Grey,0.8,1.5,Mongolia,Mongolia
Mordovian.HO,modern,16,Grey,Grey,0.8,1.5,Russia,Republic of Mordovia
Nanai.HO,modern,16,Grey,Grey,0.8,1.5,Russia,Khabarovsk Krai
Naxi.DG,modern,16,Grey,Grey,0.8,1.5,China,Yunnan Province
Naxi.HO,modern,16,Grey,Grey,0.8,1.5,China,Yunnan Province
Negidal.HO,modern,16,Grey,Grey,0.8,1.5,Russia,Khabarovsk Krai
Nganasan.HO,modern,16,Grey,Grey,0.8,1.5,Russia,Taimyr Peninsula
Nivh.HO,modern,16,Grey,Grey,0.8,1.5,Russia,Sakhalin and Khabarovsk Krai
Norwegian.DG,modern,16,Grey,Grey,0.8,1.5,Norway,Norway
Norwegian.HO,modern,16,Grey,Grey,0.8,1.5,Norway,Norway
Orcadian.DG,modern,16,Grey,Grey,0.8,1.5,United Kingdom,Orkney Islands
Orcadian.HO,modern,16,Grey,Grey,0.8,1.5,United Kingdom,Orkney Islands
Oroqen.DG,modern,16,Grey,Grey,0.8,1.5,China,Inner Mongolia and Heilongjiang
Oroqen.HO,modern,16,Grey,Grey,0.8,1.5,China,Inner Mongolia and Heilongjiang
Ossetian.HO,modern,16,Grey,Grey,0.8,1.5,Russia,North Ossetia–Alania
Polish.DG,modern,16,Grey,Grey,0.8,1.5,Poland,Poland
Romanian.HO,modern,16,Grey,Grey,0.8,1.5,Romania,Romania
Russian_Archangelsk_Krasnoborsky.HO,modern,16,Grey,Grey,0.8,1.5,Russia,Arkhangelsk Oblast - Krasnoborsky District
Russian_Archangelsk_Leshukonsky.HO,modern,16,Grey,Grey,0.8,1.5,Russia,Arkhangelsk Oblast - Leshukonsky District
Russian_Archangelsk_Pinezhsky.HO,modern,16,Grey,Grey,0.8,1.5,Russia,Arkhangelsk Oblast - Pinezhsky District
Russian.DG,modern,16,Grey,Grey,0.8,1.5,Russia,Central Russian region
Russian.HO,modern,16,Grey,Grey,0.8,1.5,Russia,Central Russian region
Saami.DG,modern,16,Grey,Grey,0.8,1.5,Russia,Murmansk Oblast
Saami.WGA.HO,modern,16,Grey,Grey,0.8,1.5,Russia,Murmansk Oblast
Sardinian.DG,modern,16,Grey,Grey,0.8,1.5,Italy,Sardinia
Sardinian.HO,modern,16,Grey,Grey,0.8,1.5,Italy,Sardinia
Scottish.HO,modern,16,Grey,Grey,0.8,1.5,United Kingdom,Scotland
Selkup.HO,modern,16,Grey,Grey,0.8,1.5,Russia,Tomsk Oblast and Yamalo-Nenets
She.DG,modern,16,Grey,Grey,0.8,1.5,China,"Fujian, Zhejiang, Jiangxi Provinces"
She.HO,modern,16,Grey,Grey,0.8,1.5,China,"Fujian, Zhejiang, Jiangxi Provinces"
Sherpa.HO,modern,16,Grey,Grey,0.8,1.5,Nepal,"Solukhumbu District, Himalayas"
Shor_Khakassia.HO,modern,16,Grey,Grey,0.8,1.5,Russia,Republic of Khakassia
Shor_Mountain.HO,modern,16,Grey,Grey,0.8,1.5,Russia,Kemerovo Oblast (Mountain Shoria)
Sicilian.HO,modern,16,Grey,Grey,0.8,1.5,Italy,Sicily
Spanish.DG,modern,16,Grey,Grey,0.8,1.5,Spain,Spain
Spanish.HO,modern,16,Grey,Grey,0.8,1.5,Spain,Spain
Spanish_North.HO,modern,16,Grey,Grey,0.8,1.5,Spain,Spain
Tabasaran.HO,modern,16,Grey,Grey,0.8,1.5,Russia,Dagestan
Tajik.DG,modern,16,Grey,Grey,0.8,1.5,Tajikistan,Tajikistan
Tajik.HO,modern,16,Grey,Grey,0.8,1.5,Tajikistan,Tajikistan
Tajik.SG,modern,16,Grey,Grey,0.8,1.5,Tajikistan,Tajikistan
Tatar_Kazan.HO,modern,16,Grey,Grey,0.8,1.5,Russia,Republic of Tatarstan (Kazan)
Tatar_Mishar.HO,modern,16,Grey,Grey,0.8,1.5,Russia,Mordovia and Penza Oblast
Tatar_Siberian.HO,modern,16,Grey,Grey,0.8,1.5,Russia,"Siberia (e.g., Tyumen, Omsk)"
Tatar_Siberian_Zabolotniye.HO,modern,16,Grey,Grey,0.8,1.5,Russia,Siberia (Zabolotniye region)
Thai.DG,modern,16,Grey,Grey,0.8,1.5,Thailand,Thailand
Thai.HO,modern,16,Grey,Grey,0.8,1.5,Thailand,Thailand
Tibetan.HO,modern,16,Grey,Grey,0.8,1.5,China,Tibet Autonomous Region
Todzin.HO,modern,16,Grey,Grey,0.8,1.5,Russia,Tuva Republic (Todzhinsky District)
Tofalar.HO,modern,16,Grey,Grey,0.8,1.5,Russia,Irkutsk Oblast
Tubalar.DG,modern,16,Grey,Grey,0.8,1.5,Russia,Altai Republic
Tubalar.HO,modern,16,Grey,Grey,0.8,1.5,Russia,Altai Republic
Tu.DG,modern,16,Grey,Grey,0.8,1.5,China,Qinghai and Gansu Provinces
Tu.HO,modern,16,Grey,Grey,0.8,1.5,China,Qinghai and Gansu Provinces
Tujia.DG,modern,16,Grey,Grey,0.8,1.5,China,Hunan and Hubei Provinces
Tujia.HO,modern,16,Grey,Grey,0.8,1.5,China,Hunan and Hubei Provinces
Turkish_Balikesir.HO,modern,16,Grey,Grey,0.8,1.5,Turkey,Balikeser
Turkish.DG,modern,16,Grey,Grey,0.8,1.5,Turkey,Turkey
Turkish.HO,modern,16,Grey,Grey,0.8,1.5,Turkey,Turkey
Turkmen.HO,modern,16,Grey,Grey,0.8,1.5,Turkmenistan,Turkmenistan
Turkmen.SG,modern,16,Grey,Grey,0.8,1.5,Turkmenistan,Turkmenistan
Tuvinian.HO,modern,16,Grey,Grey,0.8,1.5,Russia,Tuva Republic
Udmurt.HO,modern,16,Grey,Grey,0.8,1.5,Russia,Udmurt Republic
Ukrainian.HO,modern,16,Grey,Grey,0.8,1.5,Ukraine,Ukraine
Ulchi.DG,modern,16,Grey,Grey,0.8,1.5,Russia,Khabarovsk Krai
Ulchi.HO,modern,16,Grey,Grey,0.8,1.5,Russia,Khabarovsk Krai
Uyghur.DG,modern,16,Grey,Grey,0.8,1.5,China,Xinjiang Uyghur Autonomous Region
Uyghur.HO,modern,16,Grey,Grey,0.8,1.5,China,Xinjiang Uyghur Autonomous Region
Uyghur.SG,modern,16,Grey,Grey,0.8,1.5,China,Xinjiang Uyghur Autonomous Region
Uzbek.HO,modern,16,Grey,Grey,0.8,1.5,Uzbekistan,Uzbekistan
Uzbek.SG,modern,16,Grey,Grey,0.8,1.5,Uzbekistan,Uzbekistan
Veps.HO,modern,16,Grey,Grey,0.8,1.5,Russia,Republic of Karelia and Leningrad Oblast
Xibo.DG,modern,16,Grey,Grey,0.8,1.5,China,Xinjiang and Liaoning Provinces
Xibo.HO,modern,16,Grey,Grey,0.8,1.5,China,Xinjiang and Liaoning Provinces
Yakut.DG,modern,16,Grey,Grey,0.8,1.5,Russia,Sakha Republic (Yakutia)
Yakut.HO,modern,16,Grey,Grey,0.8,1.5,Russia,Sakha Republic (Yakutia)
Yi.DG,modern,16,Grey,Grey,0.8,1.5,China,"Yunnan, Sichuan, and Guizhou Provinces"
Yi.HO,modern,16,Grey,Grey,0.8,1.5,China,"Yunnan, Sichuan, and Guizhou Provinces"
,,,,,, ,,